time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
10.6,0.0,0.50773,-0.20093,0.17677,-0.00371,-0.08212,0.02397,0.99908,-0.00136,-0.04107,0.0119
10.667,0.0,0.50882,-0.20425,0.16261,-0.0077,-0.08237,0.03275,0.99901,-0.00317,-0.04123,0.0162
10.733,3.2833332852533204e-07,0.50999,-0.20601,0.14849,-0.01213,-0.08188,0.03963,0.99895,-0.00525,-0.04104,0.01955
10.8,3.2833332852533204e-07,0.51121,-0.20704,0.1354,-0.01385,-0.08076,0.04652,0.9989,-0.00598,-0.04052,0.02296
10.867,0.0,0.51258,-0.2079,0.12392,-0.0133,-0.07844,0.05269,0.99887,-0.00561,-0.03937,0.02606
10.933,0.0,0.51401,-0.20864,0.11451,-0.01292,-0.07507,0.05601,0.99889,-0.0054,-0.03769,0.02774
11.0,0.0,0.51532,-0.20938,0.10716,-0.01271,-0.07376,0.05736,0.9989,-0.00529,-0.03704,0.02842
11.067,3.2833332852533204e-07,0.51575,-0.20971,0.10156,-0.00572,-0.07771,0.05541,0.99886,-0.00178,-0.03891,0.02757
11.133,3.2833332852533204e-07,0.51606,-0.2095,0.09745,0.00556,-0.08177,0.05044,0.99884,0.00381,-0.04079,0.02531
11.2,3.2833332852533204e-07,0.51679,-0.20903,0.09451,0.01385,-0.08287,0.04453,0.99886,0.00784,-0.04126,0.02253
11.267,3.2833332852533204e-07,0.51767,-0.20821,0.09271,0.01712,-0.08181,0.03866,0.99893,0.00934,-0.04072,0.01966
11.333,3.2833332852533204e-07,0.51836,-0.20644,0.09141,0.01925,-0.07972,0.03128,0.99903,0.01024,-0.03969,0.01601
11.4,3.2833332852533204e-07,0.51898,-0.20392,0.09048,0.02029,-0.07749,0.02385,0.99912,0.0106,-0.03861,0.01231
11.467,3.2833332852533204e-07,0.5196,-0.20109,0.0897,0.02203,-0.07626,0.01759,0.99917,0.01134,-0.03802,0.00921
11.533,3.2833332852533204e-07,0.52009,-0.1984,0.08884,0.02098,-0.07511,0.0121,0.99922,0.01071,-0.03748,0.00644
11.6,6.566666570506641e-07,0.52056,-0.1957,0.08777,0.0188,-0.0741,0.00643,0.99926,0.00951,-0.03701,0.00356
11.667,6.566666570506641e-07,0.52091,-0.19284,0.08617,0.01931,-0.07423,0.00076,0.99926,0.00966,-0.0371,0.00074
11.733,3.2833332852533204e-07,0.52092,-0.1903,0.08412,0.02228,-0.07645,-0.00269,0.99921,0.01108,-0.03823,-0.00092
11.8,3.2833332852533204e-07,0.52038,-0.18819,0.0815,0.02661,-0.08085,-0.0046,0.99909,0.0132,-0.04044,-0.00176
11.867,3.2833332852533204e-07,0.51981,-0.1865,0.07903,0.02938,-0.08509,-0.00592,0.99899,0.01455,-0.04257,-0.00233
11.933,6.566666570506641e-07,0.51942,-0.18554,0.07731,0.03104,-0.08802,-0.00659,0.99891,0.01536,-0.04404,-0.00261
12.0,6.566666570506641e-07,0.5189,-0.18541,0.07612,0.03132,-0.09026,-0.0067,0.99886,0.01549,-0.04516,-0.00264
12.067,6.566666570506641e-07,0.51869,-0.18559,0.07584,0.03103,-0.09088,-0.00658,0.99884,0.01535,-0.04547,-0.00258
12.133,6.566666570506641e-07,0.51879,-0.18592,0.07607,0.03061,-0.09045,-0.00623,0.99886,0.01515,-0.04525,-0.00242
12.2,6.566666570506641e-07,0.51937,-0.18614,0.07649,0.03061,-0.08931,-0.00573,0.99888,0.01516,-0.04468,-0.00218
12.267,6.566666570506641e-07,0.5199,-0.18633,0.07691,0.03069,-0.08826,-0.0053,0.99891,0.01521,-0.04415,-0.00197
12.333,9.85000042419415e-07,0.51999,-0.18625,0.07694,0.03092,-0.08818,-0.00525,0.99891,0.01533,-0.04411,-0.00194
12.4,9.85000042419415e-07,0.51996,-0.18611,0.0769,0.03146,-0.08842,-0.00514,0.9989,0.0156,-0.04423,-0.00187
12.467,9.85000042419415e-07,0.51997,-0.18604,0.07688,0.03174,-0.08852,-0.00507,0.99889,0.01574,-0.04428,-0.00183
12.533,9.85000042419415e-07,0.51997,-0.18601,0.07688,0.03176,-0.08854,-0.00505,0.99889,0.01575,-0.04429,-0.00182
12.6,1.3133333141013281e-06,0.5199,-0.18599,0.07683,0.03174,-0.08868,-0.00511,0.99889,0.01574,-0.04436,-0.00185
12.667,1.3133333141013281e-06,0.51978,-0.18597,0.07675,0.03166,-0.0889,-0.00517,0.99889,0.0157,-0.04447,-0.00188
12.733,1.3133333141013281e-06,0.51966,-0.18595,0.07667,0.03161,-0.08912,-0.00525,0.99888,0.01567,-0.04458,-0.00192
12.8,1.3133333141013281e-06,0.51958,-0.18593,0.07662,0.03157,-0.08928,-0.00529,0.99888,0.01565,-0.04466,-0.00194
12.867,1.3133333141013281e-06,0.51957,-0.18593,0.07661,0.03157,-0.0893,-0.00529,0.99888,0.01565,-0.04467,-0.00194
12.933,1.3133333141013281e-06,0.51957,-0.18593,0.07661,0.03157,-0.0893,-0.00529,0.99888,0.01565,-0.04467,-0.00194
13.0,1.3133333141013281e-06,0.51957,-0.18593,0.07661,0.03155,-0.0893,-0.00529,0.99888,0.01564,-0.04467,-0.00194
13.067,1.3133333141013281e-06,0.51957,-0.18592,0.07661,0.03155,-0.08932,-0.00529,0.99888,0.01564,-0.04468,-0.00194
13.133,1.3133333141013281e-06,0.51957,-0.18593,0.07661,0.03157,-0.0893,-0.00529,0.99888,0.01565,-0.04467,-0.00194
